invoice_no,invoice_dt,cust_name,warehouse_loc,qty,price_amt,partner_code,transport_mode,brand
790782,2023-09-23,Epsilon Retailers,Bangalore,483,342998.57,47682117,ship,BrandD
147659,2022-09-20,Sigma Supplies,Mars,274,2209.09,47682117,ship,BrandD
576591,2024-06-16,Pi Markets,Jaipur,136,2935.64,47682117,ship,BrandD
561247,2024-04-30,Sigma Supplies,,227,998.21,47682117,air,BrandB
975613,2023-03-14,Theta Markets,Unknown,98,3326.48,47682117,truck,BrandB
384584,2022-09-28,Gamma Traders,,162,3561.56,47682117,rail,BrandD
657237,2022-06-20,Chi Enterprises,Kolkata,462,2441.47,47682117,rail,BrandC
847221,2024-08-26,Zeta Enterprises,Pune,354,2248.14,47682117,ship,BrandC
821835,2023-12-22,Vertex Distributors,Chennai,237,4529.44,47682117,truck,BrandC
727952,,Gamma Traders,XYZ,375,2686.92,47682117,air,BrandB
521174,2022-10-23,Apex Traders,Bangalore,372,3259.24,47682117,truck,BrandD
747722,2022-03-14,Theta Markets,XYZ,282,365072.46,47682117,truck,BrandA
301264,2024-08-10,Theta Markets,Mumbai,ERROR,3332.53,47682117,ship,BrandA
736598,ERROR,Iota Distributors,Kolkata,ERROR,2164.87,47682117,rail,BrandD
775736,ERROR,Eta Wholesale,Coimbatore,164,811.88,47682117,air,BrandA
335506,2023-12-21,Nu Retailers,Hyderabad,104,3320.59,47682117,ship,BrandD
769227,2022-05-12,Psi Wholesale,,289,3273.18,47682117,rail,BrandB
408003,2022-07-25,Nova Supplies,Pune,,382282.57,47682117,truck,BrandC
764412,2024-08-02,Vertex Distributors,Mumbai,158,3326.39,47682117,rail,BrandD
441752,2023-01-09,Pi Markets,Chennai,ERROR,812.83,47682117,ship,BrandA
687006,2024-06-01,Beta Supplies,Kolkata,470,,47682117,air,BrandD
320247,ERROR,Zenith Enterprises,Pune,8,1733.32,47682117,truck,BrandD
839565,,Zenith Enterprises,Mumbai,330,2755.96,47682117,truck,BrandD
899100,,Theta Markets,Kolkata,152,2826.77,47682117,rail,BrandA
206538,2022-09-28,Nu Retailers,,328,322.2,47682117,rail,BrandA
461194,2023-10-30,Beta Supplies,Pune,145,3896.63,47682117,truck,BrandD
428581,2024-03-22,Theta Markets,Hyderabad,278,3025.3,47682117,rail,BrandD
849143,2022-10-14,Xi Enterprises,Kolkata,87,3988.38,47682117,ship,BrandD
164230,2022-07-20,Xi Enterprises,Pune,133,1275.42,47682117,rail,BrandC
264408,2022-02-17,Theta Markets,Unknown,ERROR,ERROR,47682117,air,BrandD
464558,,Gamma Traders,Delhi,404,4851.38,47682117,air,BrandC
125765,2024-07-17,Alpha Distributors,Unknown,180,3900.55,47682117,truck,BrandD
325345,2023-12-12,Mu Logistics,Hyderabad,ERROR,1109.85,47682117,truck,BrandD
779264,2024-07-10,Epsilon Retailers,Delhi,424,3081.0,47682117,ship,BrandB
299190,,Epsilon Retailers,Kolkata,33644,911.09,47682117,truck,BrandA
877104,2024-07-07,Theta Markets,Pune,191,,47682117,truck,BrandD
797895,2022-09-03,Rho Distributors,Mars,90,1459.7,47682117,truck,BrandC
322807,2024-07-11,Apex Traders,Delhi,324,2367.27,47682117,truck,BrandC
373430,2024-05-17,Nu Retailers,,105,98.47,47682117,air,BrandB
883082,2022-08-12,Omega Markets,Hyderabad,452,1513.39,47682117,air,BrandB
192908,2023-08-06,Nova Supplies,XYZ,ERROR,1902.02,47682117,truck,BrandD
187794,ERROR,Omega Markets,XYZ,192,3597.9,47682117,air,BrandC
256124,,Sigma Supplies,,103,,47682117,air,BrandA
933919,2022-02-10,Beta Supplies,Chennai,18931,2170.85,47682117,truck,BrandA
397643,2023-09-12,Sigma Supplies,Kolkata,25,193.18,47682117,air,BrandA
401470,2022-05-01,Iota Distributors,Mars,,4853.29,47682117,truck,BrandB
792536,2023-03-10,Chi Enterprises,Ahmedabad,485,1173.13,47682117,rail,BrandB
311543,2023-01-02,Lambda Traders,Pune,447,1110.89,47682117,rail,BrandC
782447,2022-03-26,Kappa Supplies,Jaipur,190,3747.76,47682117,truck,BrandD
572762,2023-09-17,Delta Logistics,Unknown,251,435435.44,47682117,ship,BrandD
