invoiceNumber,date,cust,warehouse,qty_units,amount,partner_code
580004,2023-03-23,Nova Supplies,Hyderabad,,2861.82,42541284
276262,2022-06-08,Apex Traders,Pune,112,2230.83,42541284
876380,,Zenith Enterprises,Kolkata,20777,2521.75,42541284
789742,2022-06-18,Nu Retailers,Mumbai,335,378763.77,42541284
111014,ERROR,Prime Logistics,Bangalore,122,ERROR,42541284
431269,ERROR,Zenith Enterprises,Mumbai,70,4857.96,42541284
816980,2023-07-22,Omega Markets,Chennai,16239,ERROR,42541284
346415,2023-02-18,Phi Retailers,Jaipur,299,,42541284
737435,ERROR,Upsilon Logistics,Kolkata,57,412.76,42541284
681016,2024-01-29,Mu Logistics,Chennai,,4174.93,42541284
229079,2022-06-12,Epsilon Retailers,Pune,123,ERROR,42541284
685506,2022-01-03,Nu Retailers,Delhi,449,2216.76,42541284
921294,2022-12-09,Xi Enterprises,Delhi,,2892.57,42541284
925662,2022-08-05,Theta Markets,Pune,261,761.43,42541284
557964,2023-10-10,Phi Retailers,Chennai,242,4210.7,42541284
461189,2023-09-08,Zeta Enterprises,Delhi,219,4175.09,42541284
106640,2024-04-18,Sigma Supplies,Delhi,100,1128.29,42541284
954864,2023-11-14,Kappa Supplies,Delhi,489,499855.0,42541284
310190,2023-11-02,Vertex Distributors,Coimbatore,182,2793.52,42541284
385331,2022-09-17,Zeta Enterprises,Unknown,171,4567.9,42541284
132215,2023-09-12,Nova Supplies,Ahmedabad,4,1752.48,42541284
704104,2024-04-27,Gamma Traders,Bangalore,ERROR,1037.62,42541284
817791,2023-08-15,Apex Traders,Jaipur,129,2184.76,42541284
633867,,Zenith Enterprises,Pune,232,ERROR,42541284
428264,2023-04-03,Upsilon Logistics,Chennai,302,3076.84,42541284
436810,2023-12-31,Vertex Distributors,,,1783.61,42541284
646303,2024-09-16,Gamma Traders,,429,346280.77,42541284
335634,2023-03-20,Upsilon Logistics,XYZ,388,1206.63,42541284
968468,2024-06-13,Zeta Enterprises,Delhi,270,3534.96,42541284
450219,2023-10-25,Orbit Retailers,Delhi,103,,42541284
638220,2022-03-11,Beta Supplies,Chennai,488,3442.45,42541284
164571,2024-03-04,Delta Logistics,XYZ,260,33.52,42541284
673445,2024-08-19,Prime Logistics,Bangalore,,2227.67,42541284
611226,2022-07-19,Epsilon Retailers,Coimbatore,95,767.0,42541284
286955,2023-03-05,Chi Enterprises,Hyderabad,90,3750.45,42541284
104857,2023-02-12,Chi Enterprises,Mumbai,394,3495.1,42541284
896466,2024-02-15,Mu Logistics,Hyderabad,18646,3170.5,42541284
855619,2023-04-13,Zenith Enterprises,Jaipur,224,2770.78,42541284
915718,2022-11-02,Nova Supplies,,157,ERROR,42541284
188303,2024-08-18,Gamma Traders,Jaipur,393,1730.99,42541284
523362,2022-03-03,Omicron Wholesale,XYZ,127,3810.42,42541284
