invoiceNumber,date,cust,warehouse,qty_units,amount,partner_code,transport,brand
227778,2023-01-15,Phi Retailers,Kolkata,485,,77353291,ship,BrandB
709055,,Nova Supplies,Delhi,498,192475.59,77353291,air,BrandC
333130,,Nova Supplies,Bangalore,222,,77353291,air,BrandC
739228,2022-08-17,Zeta Enterprises,Mumbai,397,3721.14,77353291,air,BrandC
592637,,Chi Enterprises,Delhi,32,4355.26,77353291,rail,BrandD
408195,2023-09-29,Nu Retailers,Bangalore,75,129150.42,77353291,air,BrandC
728096,2022-02-05,Apex Traders,Kolkata,13,2586.44,77353291,air,BrandB
653913,2022-04-06,Phi Retailers,Ahmedabad,366,2145.77,77353291,ship,BrandA
584114,ERROR,Omicron Wholesale,Unknown,60,1749.54,77353291,ship,BrandA
152943,2024-04-21,Gamma Traders,XYZ,244,4499.56,77353291,air,BrandB
758533,2023-11-05,Lambda Traders,Coimbatore,ERROR,4879.23,77353291,truck,BrandC
109466,2023-03-06,Nu Retailers,Mumbai,39,334.11,77353291,rail,BrandB
389891,2024-09-20,Sigma Supplies,Coimbatore,312,3825.5,77353291,air,BrandD
299485,2024-09-27,Alpha Distributors,,ERROR,3710.83,77353291,truck,BrandC
244607,2023-12-29,Alpha Distributors,Kolkata,267,4923.8,77353291,truck,BrandC
347258,2022-09-26,Zenith Enterprises,,188,140.81,77353291,ship,BrandD
544885,,Upsilon Logistics,Bangalore,44549,1885.43,77353291,truck,BrandB
158558,ERROR,Omicron Wholesale,Delhi,99,3815.72,77353291,air,BrandB
690799,2023-03-28,Phi Retailers,,,2242.45,77353291,rail,BrandC
533793,2022-05-27,Beta Supplies,Kolkata,10,302801.15,77353291,air,BrandD
428639,ERROR,Pi Markets,Delhi,200,,77353291,air,BrandC
160759,2024-05-01,Zenith Enterprises,Delhi,150,577.78,77353291,rail,BrandC
418865,2022-04-30,Rho Distributors,Delhi,317,308023.18,77353291,rail,BrandC
402237,2022-06-17,Alpha Distributors,XYZ,ERROR,316.38,77353291,air,BrandD
443707,2022-04-07,Epsilon Retailers,Kolkata,ERROR,,77353291,ship,BrandA
123275,2023-04-14,Epsilon Retailers,,408,3331.05,77353291,ship,BrandB
951617,2022-07-16,Nu Retailers,,ERROR,3997.48,77353291,air,BrandD
