inv,invoice_date,customer_name,warehouse_location,quantity,price,partner_code,mode_of_transport,brand
688094,2023-05-26,Mu Logistics,Coimbatore,101,1601.16,90621128,ship,BrandB
836316,2024-02-21,Nova Supplies,Hyderabad,176,4637.09,90621128,rail,BrandA
462697,2024-02-02,Vertex Distributors,Delhi,150,4011.68,90621128,air,BrandA
152384,2023-08-07,Mu Logistics,Kolkata,341,,90621128,ship,BrandD
322868,2023-07-18,Eta Wholesale,Kolkata,363,ERROR,90621128,rail,BrandA
314047,2023-07-25,Tau Traders,Jaipur,335,289508.5,90621128,truck,BrandA
982071,2023-08-21,Kappa Supplies,Hyderabad,329,2033.19,90621128,ship,BrandA
239638,2024-07-06,Sigma Supplies,Jaipur,89,1237.3,90621128,air,BrandB
445163,2022-12-03,Rho Distributors,Bangalore,216,2247.99,90621128,truck,BrandA
224944,2022-09-21,Apex Traders,Jaipur,198,4938.7,90621128,air,BrandC
616070,2023-01-29,Eta Wholesale,Coimbatore,212,4292.03,90621128,rail,BrandC
757740,2022-02-01,Nova Supplies,Pune,ERROR,3588.19,90621128,truck,BrandA
472818,2024-06-25,Alpha Distributors,,77,2254.33,90621128,rail,BrandB
167552,2023-04-02,Eta Wholesale,Chennai,461,,90621128,ship,BrandC
130939,2023-11-21,Epsilon Retailers,Ahmedabad,,64.86,90621128,air,BrandC
632612,2024-03-23,Theta Markets,Coimbatore,,3291.67,90621128,rail,BrandC
547129,2023-07-18,Phi Retailers,Pune,155,3750.45,90621128,rail,BrandC
741201,2023-07-04,Prime Logistics,Jaipur,,3719.89,90621128,air,BrandD
621382,2024-05-10,Delta Logistics,Hyderabad,286,2499.26,90621128,truck,BrandC
519868,,Mu Logistics,Chennai,ERROR,143.16,90621128,truck,BrandD
536164,2023-11-29,Chi Enterprises,XYZ,62,3998.97,90621128,rail,BrandA
569026,2023-07-03,Mu Logistics,Jaipur,242,767.24,90621128,air,BrandD
874086,2022-02-24,Vertex Distributors,Delhi,351,3157.16,90621128,ship,BrandD
422446,,Gamma Traders,Mumbai,458,1183.11,90621128,rail,BrandD
642142,2023-11-21,Chi Enterprises,,15,984.75,90621128,ship,BrandD
698858,2022-11-12,Tau Traders,Chennai,40116,3663.21,90621128,truck,BrandA
698797,2024-02-19,Omicron Wholesale,Unknown,403,218452.23,90621128,air,BrandC
888920,2023-12-14,Theta Markets,Pune,427,4866.3,90621128,truck,BrandD
782602,ERROR,Kappa Supplies,Bangalore,ERROR,3950.02,90621128,truck,BrandA
815206,2022-06-06,Eta Wholesale,Pune,34626,527.13,90621128,air,BrandC
996816,,Chi Enterprises,Kolkata,467,632.08,90621128,ship,BrandC
772076,2022-06-03,Iota Distributors,Mars,,80.17,90621128,rail,BrandD
341530,2023-09-05,Omicron Wholesale,XYZ,203,393564.78,90621128,truck,BrandC
135523,,Delta Logistics,Ahmedabad,30,4397.98,90621128,air,BrandB
800564,2024-02-20,Psi Wholesale,Ahmedabad,43,2441.57,90621128,ship,BrandA
708442,2023-03-21,Theta Markets,Hyderabad,283,ERROR,90621128,air,BrandC
892602,2023-10-22,Nu Retailers,Coimbatore,192,158965.89,90621128,ship,BrandD
636781,2024-07-20,Orbit Retailers,Chennai,242,3076.13,90621128,truck,BrandA
