inv_no,invoice_date,customer,location,quantity,price,partner
290441,11-09-2023,Alpha Distributors,Jaipur,75,2587.66,78119507
701079,17-05-2024,Omicron Wholesale,Kolkata,78,3031.54,78119507
810096,22-04-2024,Beta Supplies,Coimbatore,134,4885.84,78119507
117924,12-03-2022,Orbit Retailers,,480,4171.5,78119507
562510,10-03-2023,Mu Logistics,,478,1088.4,78119507
622192,22-05-2024,Chi Enterprises,Coimbatore,460,4430.59,78119507
222114,28-04-2022,Iota Distributors,Chennai,300,355493.61,78119507
731066,05-03-2022,Beta Supplies,Bangalore,181,4061.65,78119507
550059,12-07-2023,Beta Supplies,,68,4811.86,78119507
832786,21-01-2022,Lambda Traders,Jaipur,317,3709.05,78119507
148278,02-11-2023,Sigma Supplies,Chennai,,3828.63,78119507
500428,,Xi Enterprises,Chennai,,2554.69,78119507
958400,28-11-2022,Mu Logistics,Ahmedabad,467,115932.69,78119507
461285,07-03-2022,Epsilon Retailers,Jaipur,110,452.88,78119507
745127,12-03-2022,Upsilon Logistics,Pune,25665,1027.81,78119507
310103,08-04-2023,Omega Markets,XYZ,14,4714.64,78119507
767227,02-02-2023,Iota Distributors,Pune,225,,78119507
265287,19-01-2022,Lambda Traders,Bangalore,135,1669.98,78119507
883801,29-07-2023,Mu Logistics,Chennai,6,,78119507
120558,24-09-2022,Apex Traders,,204,427.68,78119507
302225,14-07-2022,Eta Wholesale,Mars,3,1978.05,78119507
569936,02-07-2024,Tau Traders,Ahmedabad,99,ERROR,78119507
944076,31-10-2023,Tau Traders,Coimbatore,479,2465.83,78119507
756843,08-04-2023,Alpha Distributors,Coimbatore,72,1391.42,78119507
289352,17-01-2022,Omega Markets,Bangalore,128,74.84,78119507
554658,ERROR,Delta Logistics,Chennai,224,4375.95,78119507
163991,21-12-2022,Lambda Traders,,263,1077.36,78119507
379916,24-08-2023,Eta Wholesale,Ahmedabad,460,1029.47,78119507
744544,10-05-2022,Epsilon Retailers,Ahmedabad,336,4757.49,78119507
913231,04-11-2023,Gamma Traders,Kolkata,455,199476.17,78119507
880310,16-02-2022,Omega Markets,Mumbai,150,,78119507
657316,29-09-2023,Chi Enterprises,Delhi,398,4117.13,78119507
709117,,Vertex Distributors,Coimbatore,,2328.01,78119507
396208,11-06-2024,Psi Wholesale,Ahmedabad,16,4957.61,78119507
865543,11-02-2024,Tau Traders,,138,243030.56,78119507
959189,17-05-2023,Tau Traders,Jaipur,114,91.98,78119507
401574,ERROR,Kappa Supplies,Pune,49253,4101.97,78119507
454501,29-01-2023,Lambda Traders,Chennai,,4312.83,78119507
959197,,Xi Enterprises,Mumbai,280,3910.46,78119507
439099,09-03-2022,Prime Logistics,Mars,ERROR,835.28,78119507
390939,02-10-2022,Chi Enterprises,Unknown,ERROR,,78119507
900432,29-09-2023,Psi Wholesale,Mars,30690,152607.07,78119507
513943,19-04-2023,Vertex Distributors,Mars,,543.87,78119507
417169,ERROR,Phi Retailers,Jaipur,356,ERROR,78119507
925918,21-08-2023,Upsilon Logistics,Mars,82,,78119507
916631,09-01-2024,Epsilon Retailers,Pune,474,1061.04,78119507
773717,30-08-2024,Upsilon Logistics,Coimbatore,328,451962.45,78119507
425117,19-07-2022,Kappa Supplies,Ahmedabad,420,1039.37,78119507
354941,,Gamma Traders,,337,4567.99,78119507
345408,10-03-2023,Xi Enterprises,XYZ,206,2402.92,78119507
992474,ERROR,Zeta Enterprises,Unknown,136,,78119507
669631,01-04-2024,Iota Distributors,Pune,25620,326584.56,78119507
116435,21-03-2024,Lambda Traders,Chennai,416,ERROR,78119507
978977,08-09-2023,Zeta Enterprises,Delhi,472,,78119507
572489,14-04-2024,Gamma Traders,Chennai,231,2922.48,78119507
922669,29-02-2024,Theta Markets,Bangalore,498,2739.25,78119507
126994,12-08-2024,Chi Enterprises,Hyderabad,181,4416.62,78119507
662457,02-05-2023,Epsilon Retailers,Chennai,245,1908.72,78119507
935310,27-01-2022,Prime Logistics,Unknown,175,,78119507
420754,10-12-2023,Theta Markets,Mumbai,381,758.76,78119507
902247,08-02-2022,Theta Markets,Coimbatore,43,307065.01,78119507
308187,17-07-2022,Omicron Wholesale,Coimbatore,24905,,78119507
807933,07-04-2024,Sigma Supplies,,1,150996.93,78119507
422773,ERROR,Sigma Supplies,Mumbai,344,2943.54,78119507
391042,,Omicron Wholesale,Chennai,216,ERROR,78119507
836550,30-06-2023,Apex Traders,Hyderabad,415,2703.6,78119507
727024,08-03-2023,Xi Enterprises,Bangalore,229,2481.06,78119507
744036,20-10-2023,Apex Traders,Coimbatore,492,1106.59,78119507
953447,ERROR,Eta Wholesale,,467,ERROR,78119507
265166,07-01-2022,Apex Traders,Mumbai,146,1375.98,78119507
122982,16-01-2024,Prime Logistics,Chennai,468,,78119507
277128,25-09-2024,Beta Supplies,Ahmedabad,ERROR,278.25,78119507
697529,05-03-2022,Delta Logistics,Mumbai,440,945.12,78119507
525718,29-10-2022,Omega Markets,Ahmedabad,492,2820.48,78119507
400692,29-01-2024,Rho Distributors,XYZ,ERROR,4022.55,78119507
459996,20-02-2023,Tau Traders,Mars,ERROR,4308.22,78119507
926473,31-01-2022,Orbit Retailers,Bangalore,213,,78119507
114179,15-05-2023,Theta Markets,Unknown,57,824.89,78119507
857080,30-11-2022,Theta Markets,XYZ,ERROR,,78119507
927079,19-11-2023,Mu Logistics,Chennai,448,ERROR,78119507
654794,14-06-2023,Apex Traders,Jaipur,9,1206.88,78119507
680689,20-12-2022,Chi Enterprises,Jaipur,18,4937.45,78119507
327457,09-02-2024,Upsilon Logistics,Mars,349,2441.83,78119507
193902,13-11-2023,Delta Logistics,Bangalore,178,ERROR,78119507
932058,06-05-2023,Upsilon Logistics,Unknown,138,454617.53,78119507
597951,24-05-2023,Psi Wholesale,Ahmedabad,301,1650.58,78119507
850944,19-06-2022,Nova Supplies,XYZ,352,3757.18,78119507
857347,08-01-2024,Eta Wholesale,Bangalore,81,3973.33,78119507
134771,06-07-2023,Gamma Traders,Kolkata,,4970.95,78119507
